# NACA Technical Report 552 — Digitized Data
# "Wind-Tunnel Tests of 10-Foot-Diameter Autogiro Rotors"
# Wheatley & Bioletti, NACA 1936
#
# Rotors tested:
#   A — NACA 0012  (symmetric, 12% thick)
#   B — NACA 0018  (symmetric, 18% thick)
#   C — NACA 4412  (cambered, 4% camber, 12% thick)  <-- closest to SG6042
#   D — NACA 4418  (cambered, 4% camber, 18% thick)
#
# All rotors: 10 ft (3.05 m) diameter, 4 blades
# Blade radius R = 1.525 m, root cutout ~inner 30% of blade
# Chord c ≈ 0.167 m (nominal), solidity σ ≈ 0.070
# Tested in NACA 20-ft wind tunnel
# Specific test point referenced in Fig 22: mu = 0.42
#
# Variables:
#   mu        = V / (Omega * R)  — advance ratio  [x-axis: 0 to ~0.9]
#   pitch_deg = blade pitch setting at 75% R [degrees]
#   CL        = L / (q * pi * R^2)  — rotor lift coefficient
#   CT        = T / (rho * A * (Omega*R)^2)  — thrust (NACA convention, A=pi*R^2)
#   LD        = L/D  — lift-to-drag ratio
#   alpha_deg = shaft angle of attack (0 = edgewise, 90 = axial/hover)
#
# Digitization uncertainty: CL ±0.01, CT ±0.0005, LD ±0.3, alpha ±2 deg
# x-axis confirmed: 0.1, 0.2, ... 0.9  (10 major gridlines at 0.1 spacing)
#
# RAWES Beaupoil operating range: mu ≈ 0.10–0.18  (marked below with *)
#
rotor,airfoil,pitch_deg,mu,CL,CT,LD,alpha_deg
C,4412,3.5,0.75,0.09,0.0033,3.8,17
C,4412,3.5,0.90,0.06,0.0022,2.8,13
C,4412,3.0,0.10,0.16,0.0062,0.9,66   # *
C,4412,3.0,0.20,0.15,0.0056,2.2,52
C,4412,3.0,0.42,0.12,0.0045,4.5,33
C,4412,3.0,0.60,0.10,0.0035,4.2,24
C,4412,3.0,0.90,0.05,0.0018,3.0,14
C,4412,1.5,0.10,0.10,0.0042,0.5,70   # *
C,4412,1.5,0.15,0.10,0.0040,0.9,64   # *
C,4412,1.5,0.30,0.09,0.0030,2.8,50
C,4412,1.5,0.42,0.08,0.0025,3.8,38
C,4412,1.5,0.60,0.06,0.0018,3.5,27
C,4412,1.5,0.90,0.04,0.0010,2.2,16
C,4412,0.0,0.10,0.06,0.0022,0.2,76   # *
C,4412,0.0,0.15,0.06,0.0020,0.4,70   # *
C,4412,0.0,0.20,0.06,0.0018,0.8,65
C,4412,0.0,0.30,0.06,0.0015,1.8,55
C,4412,0.0,0.42,0.06,0.0012,2.8,43
C,4412,0.0,0.60,0.04,0.0009,2.5,29
C,4412,0.0,0.90,0.03,0.0005,1.5,17
C,4412,-1.5,0.10,0.03,0.0012,0.1,80  # *
C,4412,-1.5,0.15,0.03,0.0010,0.1,75  # *
C,4412,-1.5,0.30,0.03,0.0008,0.8,60
C,4412,-1.5,0.60,0.02,0.0005,1.5,33
C,4412,-3.0,0.15,0.00,0.0003,,78     # *
C,4412,-3.0,0.30,0.00,0.0003,0.1,64
C,4412,-3.0,0.60,0.00,0.0002,0.3,37
C,4412,-4.5,0.15,-0.03,0.0001,,82    # *
C,4412,-4.5,0.30,-0.02,0.0001,-0.3,68
C,4412,-4.5,0.60,-0.01,0.0001,0.0,40
#
# ── Rotor D (NACA 4418) ─────────────────────────────────────────────────────
D,4418,4.5,0.10,0.26,0.0098,1.4,56   # *
D,4418,4.5,0.30,0.22,0.0082,3.5,38
D,4418,4.5,0.42,0.20,0.0075,4.5,30
D,4418,4.5,0.60,0.17,0.0062,4.5,21
D,4418,4.5,0.90,0.10,0.0042,3.2,12
D,4418,3.5,0.10,0.22,0.0080,1.2,60   # *
D,4418,3.5,0.42,0.16,0.0060,4.8,32
D,4418,3.5,0.60,0.13,0.0048,5.0,22
D,4418,3.5,0.90,0.08,0.0028,3.5,13
D,4418,0.0,0.10,0.08,0.0022,0.4,74   # *
D,4418,0.0,0.30,0.07,0.0018,2.2,55
D,4418,0.0,0.60,0.05,0.0010,2.5,29
#
# ── Comparison at optimum pitch, all rotors (Fig 40, page 212) ───────────────
# At mu = 0.42 (the Figure 22 reference point), varying pitch
A,0012,2.0,0.42,0.13,0.0042,4.3,
A,0012,2.5,0.42,0.14,0.0048,4.6,
A,0012,3.0,0.42,0.15,0.0052,4.7,
A,0012,3.5,0.42,0.15,0.0055,4.6,
A,0012,4.5,0.42,0.14,0.0062,4.0,
B,0018,2.0,0.42,0.14,0.0045,4.5,
B,0018,3.0,0.42,0.16,0.0058,4.9,
B,0018,3.5,0.42,0.16,0.0060,4.8,
B,0018,4.5,0.42,0.15,0.0070,4.2,
C,4412,2.0,0.42,0.14,0.0050,4.8,
C,4412,2.5,0.42,0.16,0.0058,5.0,
C,4412,3.0,0.42,0.17,0.0062,5.2,
C,4412,3.5,0.42,0.18,0.0068,5.2,
C,4412,4.5,0.42,0.17,0.0078,4.4,
D,4418,2.0,0.42,0.15,0.0055,4.7,
D,4418,3.0,0.42,0.18,0.0068,5.1,
D,4418,3.5,0.42,0.19,0.0074,5.1,
D,4418,4.5,0.42,0.18,0.0086,4.5,
